count	tag
112	div
86	script
48	path
43	svg
30	button
23	a
23	p
22	td
18	meta
15	li
12	tr
11	span
5	nav
5	input
5	img
4	rect
3	style
3	ul
2	link
2	main
2	h2
2	dl
2	dt
2	dd
2	form
2	h3
2	th
1	html
1	head
1	title
1	body
1	header
1	label
1	h1
1	table
1	thead
1	tbody
1	footer
1	next-route-announcer
1	template
