count	tag
126	div
86	script
54	path
48	svg
29	p
24	a
24	button
20	td
18	meta
16	span
15	li
11	tr
5	nav
5	input
4	rect
3	style
3	ul
2	link
2	main
2	h2
2	img
2	form
2	h3
2	th
1	html
1	head
1	title
1	body
1	header
1	label
1	h1
1	circle
1	table
1	thead
1	tbody
1	footer
1	next-route-announcer
1	template
