count	tag
296	div
176	path
163	svg
84	a
52	button
48	p
31	img
25	li
21	h3
18	meta
17	span
6	h2
6	section
4	style
4	rect
4	ul
3	nav
3	input
2	link
2	main
2	template
1	html
1	head
1	title
1	body
1	header
1	label
1	h1
1	footer
1	form
1	next-route-announcer
1	deepl-input-controller
