count	tag
207	div
141	path
131	svg
83	script
62	button
55	span
54	a
33	p
26	li
20	input
18	meta
16	label
15	h3
12	img
5	nav
4	rect
4	ul
4	h2
2	style
2	link
2	main
1	html
1	head
1	title
1	body
1	header
1	strong
1	footer
1	form
1	next-route-announcer
1	template
