count	tag
87	span
82	div
77	script
77	button
34	path
29	svg
22	a
18	meta
15	li
11	p
8	rect
8	input
7	label
5	circle
4	nav
3	style
3	ul
3	h2
2	link
2	main
2	line
2	form
1	html
1	head
1	title
1	body
1	header
1	img
1	footer
1	h3
1	next-route-announcer
1	template
