count	tag
168	div
86	script
72	path
69	p
67	svg
47	button
35	span
23	a
18	meta
15	li
14	input
14	td
10	label
9	h3
8	tr
5	nav
4	rect
3	style
3	ul
2	link
2	main
2	h2
2	img
2	form
2	th
1	html
1	head
1	title
1	body
1	header
1	h1
1	table
1	thead
1	tbody
1	footer
1	next-route-announcer
1	template
