count	tag
96	div
44	path
35	svg
26	span
20	a
20	li
18	meta
15	stop
14	p
14	button
7	rect
7	lineargradient
4	nav
4	ul
4	input
3	style
3	main
3	h2
2	link
2	label
2	defs
2	template
1	html
1	head
1	title
1	body
1	header
1	g
1	h1
1	aside
1	footer
1	form
1	h3
1	deepl-input-controller
1	next-route-announcer
